song_id,entry_date,exit_date,days_on_playlist,peak_position,peak_date,time_to_peak
PASIEMPRE - Tainy,2024-07-02,2024-07-20,19,21,2024-07-05,3
PELIGROSA - FloyyMenor,2025-07-31,2025-11-27,119,3,2025-09-08,39
PERREO LENTO - Chris Jedi & Gaby Music & Dei V,2025-03-01,2025-03-29,27,28,2025-03-07,6
PERRO NEGRO - Bad Bunny,2024-10-14,2025-05-31,195,2,2024-10-17,3
PERROS&GATA$ - Nicki Nicole & SAIKO,2025-07-04,2025-07-07,4,45,2025-07-04,0
PIDE - Mora,2024-08-30,2024-09-02,4,15,2024-08-30,0
PIRIBIRI - JC Reyes & Pedro Calderon,2024-08-09,2024-09-29,41,37,2024-09-17,39
PLAYA DEL INGLÉS - Quevedo,2024-05-18,2024-12-12,159,15,2024-05-18,0
POLARIS - Remix - SAIKO,2025-04-28,2025-05-09,12,31,2025-04-29,1
POLARIS - Remix - SAIKO & Feid & Quevedo,2025-03-02,2025-04-20,48,31,2025-04-01,30
POLARIS - Remix - Saiko & Feid & Quevedo,2024-06-11,2025-03-01,264,1,2024-06-11,0
POR ATRÁS - Quevedo,2025-11-24,2025-11-27,4,11,2025-11-24,0
PRIVILEGIOS - Feid,2024-09-30,2024-10-01,2,46,2024-09-30,0
PROVENZA - KAROL G,2025-07-25,2025-07-30,6,45,2025-07-26,1
PUNTO G - Quevedo,2024-05-18,2025-01-13,162,23,2024-05-30,12
Pacto (feat. Bryant Myers & Dei V) - Remix - Jay Wheeler & Anuel AA & Hades66,2024-07-29,2024-10-06,66,20,2024-08-19,21
Pacto (feat. Luar La L) - Jay Wheeler,2024-06-01,2024-07-01,31,38,2024-06-22,21
Pasaporte - Rauw Alejandro,2025-11-17,2025-11-17,1,43,2025-11-17,0
Pasaporte - Rauw Alejandro & Mr. Naisgai,2025-09-29,2025-09-29,1,49,2025-09-29,0
Passoa - JHAYCO,2025-09-08,2025-09-27,20,27,2025-09-08,0
Passoa - JHAYCO & Kapo,2025-08-17,2025-09-07,20,19,2025-08-26,9
Paz - Morad,2024-05-18,2024-05-20,3,44,2024-05-18,0
Pedro - Jaxomy & Agatino Romero & Raffaella Carrà,2025-04-14,2025-05-21,35,14,2025-04-21,7
Penas de Antaño - Bizarrap & Milo j,2024-10-09,2024-10-12,4,44,2024-10-10,1
Perdió Este Culo - Bad Gyal,2025-01-28,2025-02-24,28,18,2025-01-31,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55 - Bizarrap & Peso Pluma",2024-06-03,2024-07-01,29,2,2024-06-03,0
Please Please Please - Sabrina Carpenter,2025-06-12,2025-06-20,9,33,2025-06-18,6
Polaris - Saiko,2024-05-18,2024-06-11,25,22,2024-06-10,23
Potra Salvaje - Hard Remix - Isabel Aaiún & Fernando Moreno,2025-05-29,2025-09-24,114,3,2025-06-18,20
Potra Salvaje - Isabel Aaiún,2025-07-07,2025-08-28,50,14,2025-07-18,11
Probemas Mentales - JZAEB & Eix,2025-03-07,2025-03-07,1,48,2025-03-07,0
Problemas Mentales - JZAEB & Eix,2025-03-20,2025-03-22,2,22,2025-03-22,2
"Ptazeta: Bzrp Music Sessions, Vol. 45 - Paul Thin & RUSLANA",2025-01-18,2025-01-19,2,42,2025-01-18,0
PÓLVORA - Mora,2024-08-30,2024-09-09,11,8,2024-08-30,0
Q U E V A S H A C E R H O Y ? - Omar Courtz,2025-09-25,2025-11-27,64,1,2025-10-02,7
QLONA - KAROL G,2024-08-19,2025-10-19,342,8,2024-09-14,26
QUE ASCO DE TODO - Quevedo,2025-11-24,2025-11-27,4,19,2025-11-24,0
QUEVEDO #49 AFTER HOUR THE MIXTAPE - DJ Saot ST,2024-06-04,2024-06-04,1,48,2024-06-04,0
QUIZÁS SI QUIZÁS NO - Alvaro Diaz & Quevedo,2024-11-25,2024-12-23,29,13,2024-11-25,0
Que Me Lleve el Aire - Luis Cortés,2025-10-10,2025-10-17,8,42,2025-10-13,3
Que te vaya bien - Rvfv,2024-05-18,2024-06-07,21,26,2024-05-18,0
"Quevedo: Bzrp Music Sessions, Vol. 52 - Bizarrap & Quevedo",2024-05-18,2025-01-03,133,27,2024-05-29,11
Quickie - Dei V,2025-11-19,2025-11-25,7,31,2025-11-23,4
Quien Es Dei V? - Dei V,2024-09-24,2025-04-09,196,10,2024-10-04,10
Quién es Dei V? - Dei V,2025-06-16,2025-06-16,1,50,2025-06-16,0
Qué Pasaría... - Rauw Alejandro,2025-11-17,2025-11-27,11,1,2025-11-17,0
Qué Pecao - Manuel Turizo,2025-11-24,2025-11-27,4,34,2025-11-24,0
Qué Pecao - Manuel Turizo & Kapo,2025-10-06,2025-11-23,49,13,2025-10-13,7
RAPAPA - JC Reyes,2025-10-20,2025-11-26,38,8,2025-11-01,12
REAL GANGSTA LOVE - Trueno,2025-06-06,2025-11-16,154,1,2025-06-12,6
REINA - Mora,2024-08-30,2025-04-17,229,1,2024-08-30,0
REMIX EXCLUSIVO - Feid,2024-05-18,2024-06-04,17,43,2024-05-20,2
RITMO DE MEDALLO - Feid,2024-09-30,2024-10-01,2,37,2024-09-30,0
RITUAL - Myke Towers,2024-11-25,2024-11-25,1,48,2024-11-25,0
RKO - Eladio Carrion,2025-01-21,2025-01-24,4,20,2025-01-21,0
RUEDA - Rvfv,2025-06-02,2025-08-14,70,21,2025-06-19,17
Rapeadita LOVE - Rels B,2025-04-28,2025-04-28,1,44,2025-04-28,0
Rapido (with Cris Mj) - Dei V,2025-06-16,2025-11-27,162,5,2025-08-22,67
Rara Vez - Taiu & Milo j,2024-05-18,2024-12-13,147,15,2024-05-20,2
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56 - Bizarrap & Rauw Alejandro",2024-06-24,2024-10-13,111,1,2024-06-24,0
Razones - Ozuna & Anuel AA & Mambo Kingz,2025-06-30,2025-07-05,6,16,2025-06-30,0
Remember Me - Duki,2024-07-19,2024-07-22,4,43,2024-07-19,0
Revolú - Rauw Alejandro,2025-11-17,2025-11-23,7,10,2025-11-17,0
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa) - Sevdaliza & Villano Antillano & Tokischa",2025-04-26,2025-05-12,5,26,2025-04-27,1
RoCKSTAR 2.0 - Duki,2024-06-25,2024-07-02,8,16,2024-06-25,0
RoCKSTAR 2.0 - Duki & Jhayco,2024-06-24,2024-06-24,1,14,2024-06-24,0
Rockin' Around The Christmas Tree - Brenda Lee,2024-12-24,2024-12-27,4,7,2024-12-25,1
Romero Santo - DELLAFUENTE,2025-06-16,2025-06-21,5,31,2025-06-16,0
Rosas - La Oreja de Van Gogh,2025-10-17,2025-10-26,10,30,2025-10-19,2
RÁPIDO - Mora,2024-05-18,2024-05-24,7,41,2024-05-18,0
S91 - KAROL G,2024-07-16,2024-09-04,49,21,2024-08-13,28
SE ME OLVIDA - Maisak & Feid,2025-08-24,2025-11-16,79,11,2025-09-01,8
SE TE NOTA (feat. Peso Pluma) - Myke Towers,2025-08-24,2025-08-25,2,27,2025-08-24,0
SEDA - Bad Bunny,2024-10-14,2025-02-13,119,6,2024-10-14,0
SEXO DESENFRENADO - Myke Towers,2025-08-24,2025-08-24,1,45,2025-08-24,0
SEYA - GIMS,2024-10-21,2025-02-27,109,21,2024-12-20,60
SHIBATTO - Quevedo,2025-11-24,2025-11-27,4,3,2025-11-26,2
SI NO ES CONTIGO - Cris Mj,2025-06-18,2025-09-20,92,31,2025-08-09,52
SI SABE FERXXO - Blessd,2025-01-28,2025-02-28,31,27,2025-02-01,4
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V) - The Academy: Segunda Misión",2025-03-31,2025-03-31,1,16,2025-03-31,0
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V) - The Academy: Segunda Misión & Justin Quiles & Lenny Tavárez",2025-04-01,2025-06-08,58,16,2025-04-12,11
SI TE PEGAS - Rauw Alejandro,2024-07-09,2024-07-12,4,30,2024-07-09,0
SORRY 4 THAT MUCH - Feid,2025-06-09,2025-07-17,38,9,2025-06-17,8
SPANISH TETEO - Rvfv & Rels B & Omar Montes,2024-09-10,2024-09-11,2,50,2024-09-10,0
STAR - JC Reyes,2025-10-20,2025-11-27,37,7,2025-11-15,26
SUPERNOVA - SAIKO,2025-04-28,2025-05-03,6,33,2025-04-28,0
Sangre y Fe - Cruz Cafuné,2024-05-28,2024-06-16,20,6,2024-05-28,0
Santa - Rvssian,2025-05-22,2025-11-27,188,2,2025-05-22,0
Santa - Rvssian & Rauw Alejandro & Ayra Starr,2025-04-16,2025-05-21,36,1,2025-04-21,5
Santa Tell Me - Ariana Grande,2024-12-25,2024-12-27,3,17,2024-12-25,0
Se Fue - Rauw Alejandro,2025-11-17,2025-11-27,11,5,2025-11-17,0
Se Grita - Morad,2024-07-21,2024-08-05,16,46,2024-07-25,4
Se Pone Las Nike - Cano,2025-11-06,2025-11-27,22,6,2025-11-14,8
SexeSexy - Mushkaa,2025-03-31,2025-04-13,6,40,2025-03-31,0
"Shakira: Bzrp Music Sessions, Vol. 53 - Bizarrap & Shakira",2024-05-18,2024-07-18,61,30,2024-05-23,5
Shars 2023 - Al Safir,2024-11-30,2024-12-01,2,21,2024-11-30,0
Si Antes Te Hubiera Conocido - KAROL G,2025-06-22,2025-11-27,157,1,2025-07-02,10
Si La Calle Llama - Remix - Eladio Carrion,2024-05-18,2024-08-29,104,20,2024-05-19,1
Si No Estás - iñigo quintero,2024-09-20,2025-04-03,187,1,2024-09-29,9
Sigo Enamorau' - Eladio Carrion,2025-01-21,2025-01-21,1,17,2025-01-21,0
Sin Gato (MIAU!) - Rels B,2024-05-28,2024-06-03,3,45,2024-05-28,0
Sleigh Ride - The Ronettes,2024-12-25,2024-12-27,3,28,2024-12-25,0
Snowman - Sia,2024-12-25,2024-12-27,3,27,2024-12-25,0
Sofi - Remix - Samueliyo Baby & KEVIN ROLDAN,2024-12-12,2024-12-14,3,22,2024-12-12,0
Solita y SueltAAA - Rels B,2024-07-23,2024-07-25,3,49,2024-07-25,2
Soltera - Shakira,2025-09-28,2025-11-27,61,5,2025-10-14,16
Sonrisa - Eladio Carrion,2025-01-21,2025-01-21,1,16,2025-01-21,0
Sport+ RMX - Clarent & Myke Towers,2025-08-15,2025-08-23,9,47,2025-08-17,2
Suano - NTG & Amenazzy,2025-05-16,2025-08-09,80,6,2025-06-02,17
Supernova - Saiko,2024-05-18,2024-12-16,201,1,2024-05-18,0
T'as peur - Aya Nakamura,2024-05-18,2024-05-21,4,45,2024-05-18,0
TAMBIÉN - Myke Towers,2025-08-24,2025-11-27,88,5,2025-10-06,43
TE FALLÉ - Quevedo,2025-11-24,2025-11-27,4,17,2025-11-24,0
TELEFONO NUEVO - Bad Bunny,2024-10-14,2024-10-28,15,9,2024-10-14,0
THUNDER Y LIGHTNING - Bad Bunny,2024-10-14,2024-11-17,35,14,2024-10-14,0
TQG - KAROL G,2024-05-18,2025-08-08,120,9,2024-05-18,0
TQMQA - Eladio Carrion,2024-12-17,2025-01-26,32,15,2025-01-21,35
TU$$I (with Dei V) - YOVNGCHIMI,2025-03-01,2025-08-16,160,11,2025-03-19,18
TUYA - ROSALÍA,2024-06-11,2024-07-18,38,6,2024-06-11,0
Tacos Gucci - Anuel AA,2025-02-18,2025-03-05,13,19,2025-02-22,4
Tanta Droga - Eladio Carrion,2025-01-21,2025-01-21,1,27,2025-01-21,0
Taste - Sabrina Carpenter,2025-08-29,2025-09-03,6,47,2025-08-31,2
Tattoo - Loreen,2024-05-18,2024-06-02,16,21,2024-05-18,0
Te Menti - Ozuna & Saiko & Ovy On The Drums,2024-09-19,2024-09-29,11,38,2024-09-20,1
Tengo Un Plan - Key-Key,2025-04-04,2025-06-11,69,11,2025-04-14,10
Thalía - Cyril Kamer,2025-03-15,2025-06-04,81,9,2025-04-09,25
Thalía - Remix - Cyril Kamer & Rvfv & Polimá Westcoast,2025-07-18,2025-08-23,34,25,2025-08-04,17
The Code - Nemo,2025-05-14,2025-05-18,5,24,2025-05-14,0
The Emptiness Machine - Linkin Park,2025-09-11,2025-10-02,17,30,2025-09-13,2
Timeless (with Playboi Carti) - The Weeknd & Playboi Carti,2025-09-29,2025-09-29,1,50,2025-09-29,0
Todo Contigo - Álvaro De Luna,2024-05-18,2024-09-23,129,12,2024-05-18,0
Todo Lit - Eladio Carrion,2025-01-21,2025-01-21,1,23,2025-01-21,0
Toy en el Mic - Bizarrap & Milo j,2024-10-07,2024-10-13,7,24,2024-10-10,3
Tranquila Baby - Eladio Carrion,2025-01-21,2025-01-21,1,32,2025-01-21,0
Trato De Estar Bien - Duki,2025-11-03,2025-11-09,5,37,2025-11-03,0
Trending Remix (with Myke Towers) - Dei V,2025-03-03,2025-07-20,137,10,2025-03-10,7
Tu Ritmo - Eladio Carrion,2025-01-21,2025-01-21,1,21,2025-01-21,0
Tu Silueta - Diegote,2025-07-14,2025-10-28,106,5,2025-07-31,17
Tú Con Él - Rauw Alejandro,2025-11-17,2025-11-23,7,12,2025-11-17,0
UN DESEO - Mora,2024-08-30,2024-08-31,2,20,2024-08-30,0
UN PREVIEW - Bad Bunny,2024-09-27,2024-11-02,37,1,2024-09-27,0
UNA BACHATA - Lola Indigo,2025-02-04,2025-04-27,77,8,2025-02-04,0
UWAIE - Kapo,2025-08-20,2025-11-27,100,2,2025-08-29,9
Un Desperdicio - Rels B,2025-04-28,2025-05-15,16,29,2025-05-08,10
Un Rodeoooo - Rels B,2024-07-23,2024-09-23,57,36,2024-08-10,18
Una Foto Remix (feat. Emilia) - Mesita & Nicki Nicole & Tiago PZK,2025-01-11,2025-06-15,154,6,2025-02-01,21
Una Velita - Bad Bunny,2025-09-22,2025-09-27,6,7,2025-09-22,0
Underneath the Tree - Kelly Clarkson,2024-12-25,2024-12-27,3,22,2024-12-25,0
VAGABUNDO - Sebastian Yatra,2024-09-24,2024-09-26,3,14,2024-09-24,0
VAGABUNDO - Sebastian Yatra & Manuel Turizo & Beéle,2024-05-18,2025-10-16,385,3,2024-06-04,17
VENTE CONMIGO - Feid,2024-08-06,2024-08-12,7,22,2024-08-06,0
VISTA AL MAR - Quevedo,2024-05-21,2024-07-29,33,43,2024-05-30,9
VOLVER - Tainy,2024-07-02,2024-07-02,1,49,2024-07-02,0
VOU 787 - Bad Bunny,2024-10-14,2024-10-18,5,13,2024-10-14,0
VUELVE CANDY B - Bad Bunny,2024-10-14,2024-10-18,5,19,2024-10-14,0
"VVS Switch (feat. Hades66, Luar La L & CDobleta) - Remix - Pressure 9X19 & Anuel AA & YOVNGCHIMI",2025-03-17,2025-03-30,13,13,2025-03-17,0
Vacile - Yan Block,2025-08-15,2025-11-27,105,16,2025-10-17,63
Vida De Rock - Duki,2025-11-03,2025-11-10,8,34,2025-11-07,4
WANDA - Quevedo,2024-05-18,2024-12-07,145,18,2024-05-18,0
WHERE SHE GOES - Bad Bunny,2024-05-21,2024-10-28,154,1,2024-05-21,0
WYA REMIX RED - J Abdiel & De La Rose & Yan Block,2025-06-19,2025-11-16,140,22,2025-07-12,23
Whisky - Samuel G & Oscar el Ruso & Aissa,2025-07-17,2025-07-31,15,30,2025-07-21,4
X'CLUSIVO - Gonzy,2025-01-31,2025-03-09,38,3,2025-03-02,30
X'CLUSIVO - REMIX - Gonzy,2025-10-13,2025-11-23,42,21,2025-10-13,0
X'CLUSIVO - REMIX - Gonzy & SAIKO & Arcángel,2025-03-03,2025-10-12,220,1,2025-03-03,0
Xxx_Rosario_xxX - Saiko,2024-12-24,2025-01-05,13,23,2024-12-24,0
YO LO SOÑÉ - SAIKO,2025-04-28,2025-08-16,109,1,2025-04-30,2
YO LO SOÑÉ - SAIKO & Omar Montes,2025-04-19,2025-04-27,9,2,2025-04-25,6
YO TENGO UN NOVIO - Lola Indigo,2024-12-17,2024-12-24,8,18,2024-12-21,4
YOTULOKO - Omar Montes & Rels B,2025-07-14,2025-11-05,114,22,2025-07-27,13
Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad - Raya Real,2024-12-25,2024-12-25,1,34,2024-12-25,0
Yandel 150 - Yandel,2024-05-18,2024-09-23,125,10,2024-05-18,0
Yankee 150 - Yandel & Feid & Daddy Yankee,2024-06-18,2024-06-18,1,46,2024-06-18,0
Yo sé - Yan Block & TORRRES,2025-11-01,2025-11-27,26,8,2025-11-22,21
"Young Miko: Bzrp Music Sessions, Vol. 58 - Bizarrap & Young Miko",2025-01-13,2025-04-26,101,1,2025-01-13,0
ZORRA - Nebulossa,2025-02-05,2025-05-18,21,8,2025-02-05,0
a new star (2 0 2 4) - Rels B,2025-05-09,2025-05-30,16,32,2025-05-16,7
caída del cielo <3 - Rels B,2025-04-28,2025-05-01,2,38,2025-04-28,0
do it 4 th€ gram - Cruz Cafuné,2025-07-21,2025-07-21,1,34,2025-07-21,0
don't liE - Duki,2024-06-25,2024-06-29,5,44,2024-06-28,3
haz lo que quieras conmigo - Walls,2025-09-22,2025-10-19,20,33,2025-09-22,0
i like the way you kiss me - Artemas,2025-04-04,2025-05-02,21,19,2025-04-18,14
la noia - Angelina Mango,2025-05-14,2025-05-14,1,47,2025-05-14,0
la raíz d€l mal - Cruz Cafuné,2025-07-21,2025-07-26,4,42,2025-07-21,0
lady madrizZz - céro,2024-11-03,2025-03-02,118,8,2024-11-16,13
miamor - Aitana,2024-09-24,2024-09-26,3,34,2024-09-24,0
miamor - Aitana & Rels B,2024-08-26,2024-09-23,29,4,2024-08-26,0
m€ntiras - Cruz Cafuné,2025-07-21,2025-07-21,1,43,2025-07-21,0
offline - Young Miko,2025-04-07,2025-06-15,69,16,2025-04-09,2
rang€ rov€r - Cruz Cafuné,2025-07-21,2025-07-21,1,47,2025-07-21,0
rompeolas - Martin Urrutia,2025-04-12,2025-04-18,2,39,2025-04-18,6
un x100to - Grupo Frontera & Bad Bunny,2024-05-18,2024-06-14,27,31,2024-05-21,3
vampire - Olivia Rodrigo,2024-07-02,2024-07-02,1,48,2024-07-02,0
we can't be friends (wait for your love) - Ariana Grande,2025-03-11,2025-03-20,8,31,2025-03-13,2
"yes, and? - Ariana Grande",2025-01-14,2025-01-20,7,30,2025-01-18,4
